timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2012-10-24,141.93,142.1,140.8,141.02,119.679645762,119929435,0.0000,1.0
2012-10-23,141.86,142.06,140.83,141.42,120.019114336,191909488,0.0000,1.0
2012-10-22,143.15,143.67,142.28,143.41,121.707970491,125401781,0.0000,1.0
2012-10-19,145.55,145.56,143.05,143.39,121.690997063,185459471,0.0000,1.0
2012-10-18,145.82,146.52,145.33,145.82,123.75326865,147982555,0.0000,1.0
2012-10-17,145.64,146.32,145.42,146.2,124.075763795,128757819,0.0000,1.0
2012-10-16,144.76,145.64,144.66,145.54,123.515640648,108612021,0.0000,1.0
2012-10-15,143.23,144.23,142.77,144.08,122.276580353,107448207,0.0000,1.0
2012-10-12,143.46,143.95,142.58,142.89,121.266661345,124063714,0.0000,1.0
2012-10-11,144.28,144.49,143.33,143.36,121.66553692,123539819,0.0000,1.0
2012-10-10,144.18,144.32,143.09,143.28,121.597643205,123906096,0.0000,1.0
2012-10-09,145.53,145.65,144.15,144.2,122.378420925,148520522,0.0000,1.0
2012-10-08,145.6,146.12,145.31,145.64,123.600507791,78257959,0.0000,1.0
2012-10-05,146.91,147.16,145.7,146.14,124.024843509,124661611,0.0000,1.0
2012-10-04,145.64,146.34,145.44,146.13,124.016356794,124255532,0.0000,1.0
2012-10-03,144.89,145.43,144.13,145.09,123.133738502,121026475,0.0000,1.0
2012-10-02,144.92,145.15,143.83,144.5,122.633022355,113346235,0.0000,1.0
2012-10-01,144.52,145.69,144.01,144.35,122.50572164,135858200,0.0000,1.0
2012-09-28,144.09,144.56,143.46,143.97,122.183226495,150664142,0.0000,1.0
2012-09-27,143.89,144.97,143.51,144.64,122.751836356,111654225,0.0000,1.0
2012-09-26,144.07,144.11,142.95,143.29,121.606129919,146283598,0.0000,1.0
2012-09-25,145.96,146.24,144.06,144.1,122.293553781,133060270,0.0000,1.0
2012-09-24,145.15,145.98,145.04,145.65,123.608994506,95622709,0.0000,1.0
2012-09-21,146.64,146.67,145.81,145.87,123.795702221,108585503,0.7794,1.0
2012-09-20,146.03,146.79,145.63,146.71,123.846816152,153893195,0.0000,1.0
2012-09-19,146.79,147.17,146.41,146.7,123.838374545,128175304,0.0000,1.0
2012-09-18,146.49,146.81,146.25,146.62,123.770841689,98293358,0.0000,1.0
2012-09-17,146.94,147.19,146.37,146.74,123.872140973,119136952,0.0000,1.0
2012-09-14,146.88,148.11,146.76,147.24,124.294221322,169672999,0.0000,1.0
2012-09-13,144.37,147.04,143.99,146.59,123.745516868,225243763,0.0000,1.0
2012-09-12,144.39,144.55,143.9,144.39,121.88836333,87596498,0.0000,1.0
2012-09-11,143.6,144.37,143.56,143.91,121.483166194,88581396,0.0000,1.0
2012-09-10,144.19,144.44,143.46,143.51,121.145501915,86274348,0.0000,1.0
2012-09-07,144.01,144.39,143.88,144.33,121.837713688,107218047,0.0000,1.0
2012-09-06,141.76,143.78,141.75,143.77,121.364983697,157982836,0.0000,1.0
2012-09-05,141.09,141.47,140.63,140.91,118.950684097,100482344,0.0000,1.0
2012-09-04,141.04,141.46,140.13,141.03,119.051983381,119620349,0.0000,1.0
2012-08-31,141.29,141.82,140.36,141.16,119.161724272,151904556,0.0000,1.0
2012-08-30,140.9,140.94,140.19,140.49,118.596136604,96477807,0.0000,1.0
2012-08-29,141.52,141.89,141.12,141.51,119.457180517,65396086,0.0000,1.0
2012-08-28,141.18,141.84,140.97,141.4,119.36432284,75623274,0.0000,1.0
2012-08-27,141.89,142.08,141.34,141.54,119.482505338,68716759,0.0000,1.0
2012-08-24,140.31,141.83,140.22,141.51,119.457180517,99416396,0.0000,1.0
2012-08-23,141.47,141.48,140.44,140.66,118.739643923,111378827,0.0000,1.0
2012-08-22,141.4,142.05,141.07,141.82,119.718870334,132950820,0.0000,1.0
2012-08-21,142.54,143.09,141.45,141.76,119.668220692,105399601,0.0000,1.0
2012-08-20,141.98,142.22,141.59,142.19,120.031209792,78199468,0.0000,1.0
2012-08-17,142.23,142.3,141.86,142.18,120.022768185,90784837,0.0000,1.0
2012-08-16,141.15,142.16,140.8,141.99,119.862377652,111977601,0.0000,1.0
2012-08-15,140.64,141.19,140.55,140.95,118.984450525,71012147,0.0000,1.0
2012-08-14,141.29,141.38,140.37,140.79,118.849384814,102210603,0.0000,1.0
2012-08-13,140.6,140.84,140.04,140.77,118.8325016,79352310,0.0000,1.0
2012-08-10,140.04,140.89,139.81,140.84,118.891592849,99737237,0.0000,1.0
2012-08-09,140.29,140.89,140.15,140.61,118.697435888,90094828,0.0000,1.0
2012-08-08,139.85,140.65,139.81,140.49,118.596136604,89648652,0.0000,1.0
2012-08-07,140.18,140.92,140.03,140.32,118.452629285,109434310,0.0000,1.0
2012-08-06,139.72,140.17,139.56,139.62,117.861716796,85244038,0.0000,1.0
2012-08-03,138.56,139.64,136.68,139.35,117.633793407,157710313,0.0000,1.0
2012-08-02,136.55,137.57,135.58,136.64,115.346117913,199418419,0.0000,1.0
2012-08-01,138.7,138.73,137.4,137.59,116.148070577,138192791,0.0000,1.0
2012-07-31,138.49,138.87,137.71,137.71,116.249369861,120507272,0.0000,1.0
2012-07-30,138.52,139.34,138.27,138.68,117.068205739,106715402,0.0000,1.0
2012-07-27,136.89,139.07,136.14,138.68,117.068205739,236689679,0.0000,1.0
2012-07-26,135.89,136.46,135.26,136.17,114.949362384,156221922,0.0000,1.0
2012-07-25,134.21,134.56,133.25,133.96,113.083767239,129041882,0.0000,1.0
2012-07-24,135.19,135.25,133.03,133.93,113.058442418,173030103,0.0000,1.0
2012-07-23,134.47,136.38,133.84,135.09,114.037668829,144901109,0.0000,1.0
2012-07-20,136.95,137.16,136.32,136.47,115.202610594,142813020,0.0000,1.0
2012-07-19,137.65,138.18,137.21,137.73,116.266253075,129742249,0.0000,1.0
2012-07-18,136.04,137.64,135.96,137.37,115.962355223,113247909,0.0000,1.0
2012-07-17,135.97,136.64,134.55,136.36,115.109752917,138576451,0.0000,1.0
2012-07-16,135.44,135.83,134.9,135.43,114.324683467,97413111,0.0000,1.0
2012-07-13,133.86,135.89,133.84,135.75,114.594814891,129613009,0.0000,1.0
2012-07-12,133.38,134.23,132.6,133.51,112.703894925,143428183,0.0000,1.0
2012-07-11,134.21,134.6,133.38,134.16,113.252599379,142460464,0.0000,1.0
2012-07-10,136.01,136.23,133.68,134.14,113.235716165,162748754,0.0000,1.0
2012-07-09,135.38,135.57,134.7,135.32,114.23182579,103703827,0.0000,1.0
2012-07-06,135.47,135.77,134.85,135.49,114.375333109,151120499,0.0000,1.0
2012-07-05,136.9,137.8,136.29,136.79,115.472742018,126024304,0.0000,1.0
2012-07-03,136.48,137.51,136.34,137.41,115.996121651,80450171,0.0000,1.0
2012-07-02,136.48,136.65,135.52,136.51,115.236377022,129049181,0.0000,1.0
2012-06-29,135.2,136.27,134.85,136.1,114.890271135,212056876,0.0000,1.0
2012-06-28,132.29,132.99,131.28,132.79,112.096099221,168941315,0.0000,1.0
2012-06-27,132.42,133.43,131.97,133.17,112.416880287,107982307,0.0000,1.0
2012-06-26,131.7,132.38,130.93,131.98,111.412329055,141386194,0.0000,1.0
2012-06-25,132.05,132.1,130.85,131.32,110.855182994,146248554,0.0000,1.0
2012-06-22,133.13,133.71,132.62,133.46,112.66168689,129848438,0.0000,1.0
2012-06-21,135.64,135.78,132.33,132.44,111.800642977,205129421,0.0000,1.0
2012-06-20,135.71,136.1,134.27,135.48,114.366891502,206299494,0.0000,1.0
2012-06-19,135.08,136.25,134.37,135.7,114.552606856,137213470,0.0000,1.0
2012-06-18,133.58,134.73,133.28,134.4,113.455197947,131154924,0.0000,1.0
2012-06-15,133.38,134.26,133.1,134.14,113.235716165,169104512,0.6883,1.0
2012-06-14,132.34,134.0,131.98,133.47,112.094979469,230470410,0.0000,1.0
2012-06-13,132.53,133.36,131.62,132.07,110.919187372,171953597,0.0000,1.0
2012-06-12,131.79,133.01,131.16,132.92,111.633061145,181773014,0.0000,1.0
2012-06-11,134.17,134.25,131.28,131.41,110.364885383,169457174,0.0000,1.0
2012-06-08,131.71,133.13,131.29,133.1,111.784234415,143634224,0.0000,1.0
2012-06-07,133.47,133.53,131.78,132.05,110.902390342,184597574,0.0000,1.0
2012-06-06,129.97,132.03,129.93,131.97,110.835202222,183846801,0.0000,1.0
2012-06-05,127.85,129.26,127.78,129.07,108.399632877,163687095,0.0000,1.0
